Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    30500    959s |  47    41754    40789 |  25    31937    31763
H   31000    976s |  35    41381    40783 |  25    32443    31998
    31500    995s |  50    41752    40783 |  33    32347    31835
    32000   1010s |  38    41440    40783 |  41    37413    36913
    32500   1025s |  59    41828    40783 |  49    37448    36864
    33000   1039s |  40    41456    40783 |  57    37538    36837
    33500   1056s |  47    41721    40783 |  60    32835    31940
    34000   1075s |  32    41325    40783 |  27    32039    31853
    34500   1091s |  43    41582    40783 |  35    37456    37034
    35000   1105s |  38    41525    40783 |  43    37195    36888
H   35500   1123s |  47    41747    40773 |  37    32388    31807
    36000   1138s |  63    41975    40773 |  45    37332    36904
H   36500   1152s |  33    41076    40750 |  34    29070    23687
    37000   1169s |  56    41731    40750 |  42    37888    36971
    37500   1184s |  32    41205    40750 |  46    29295    27305
    38000   1203s |  31    41201    40750 |  53    33169    32096
    38500   1218s |  35    41390    40750 |  61    37719    37058
H   39000   1235s |  46    41625    40736 |  63    32682    31995
    39500   1252s |  42    41512    40736 |  30    37455    37072
    40000   1268s |  46    41804    40736 |  55    37797    37227
    40500   1283s |  58    41857    40736 |  63    37794    37069
    41000   1302s |  64    41993    40736 |  26    32557    31905
    41500   1320s |  42    41635    40736 |  34    37684    37146
    42000   1335s |  31    41246    40736 |  42    37369    36851
    42500   1352s |  50    41759    40736 |  50    28061    27057
    43000   1372s |  25    41006    40736 |  58    32385    31856
    43500   1391s |  59    41924    40736 |  25    32145    31812
    44000   1409s |  45    41724    40736 |  33    32133    31774
    44500   1424s |  47    41270    40736 |  28    29670    23971
    45000   1441s |  29    41258    40736 |  36    37382    36951
    45500   1459s |  53    41826    40736 |  35    28914    27257
    46000   1475s |  28    41149    40736 |  43    37394    36932
    46500   1488s |  29    41230    40736 |  55    32796    31921
    47000   1504s |  62    41903    40736 |  63    37667    37025
    47500   1519s |  65    41901    40736 |  30    37426    36961
    48000   1534s |  39    41558    40736 |  38    37282    36953
    48500   1548s |  54    41446    40736 |  41    40802    40443
    49000   1566s |  28    41203    40736 |  43    37778    37135
    49500   1581s |  56    41880    40736 |  51    37583    36966
H   50000   1597s |  25    41058    40693 |  49    38032    37255
    50500   1618s |  36    41481    40693 |  57    32836    31863
    51000   1635s |  48    41768    40693 |  65    37830    37010
    51500   1655s |  54    41873    40693 |  32    32449    31885
    52000   1672s |  29    41223    40693 |  40    37687    36959
    52500   1691s |  54    41823    40693 |  48    37411    37018
    53000   1705s |  56    41809    40693 |  56    37336    36957
    53500   1720s |  50    41766    40693 |  64    37504    36920
    54000   1736s |  46    41737    40693 |  31    22432    20651
    54500   1756s |  63    42015    40693 |  39    32406    31933
    55000   1775s |  49    41837    40693 |  47    32369    31850
    55500   1794s |  40    41638    40693 |  45    33389    32012
    56000   1813s |  61    41957    40693 |  53    37885    37254
    56500   1828s |  63    41817    40693 |  58    41744    40603
    57000   1847s |  35    41489    40693 |  63    37852    37074
    57500   1863s |  41    41596    40693 |  30    37380    36959
    58000   1878s |  56    41871    40693 |  38    37289    36898
    58500   1893s |  38    41583    40693 |  46    37157    36878
    59000   1907s |  60    41828    40693 |  54    37373    36878
    59500   1922s |  42    41648    40693 |  62    37489    36820
    60000   1936s |  33    41434    40693 |  29    37205    36820
    60500   1951s |  25    41022    40693 |  37    37349    36820
    61000   1966s |  42    41665    40693 |  45    37312    36820
    61500   1980s |  53    41783    40693 |  53    37305    36804
    62000   1994s |  64    41950    40693 |  61    37388    36804
    62500   2009s |  39    41582    40693 |  28    37238    36804
    63000   2026s |  41    41669    40693 |  27    37728    37054
    63500   2041s |  49    41754    40693 |  35    37460    36941
    64000   2056s |  27    41059    40693 |  42    41760    40301
    64500   2075s |  30    41169    40693 |  43    32467    31752
    65000   2091s |  54    41739    40693 |  51    37569    36950
    65500   2109s |  32    41333    40693 |  49    37812    37194
    66000   2129s |  60    41972    40693 |  57    32619    31899
    66500   2148s |  38    41545    40693 |  58    33144    31923
    67000   2163s |  65    41901    40693 |  25    37500    37005
H   67500   2179s |  57    41871    40692 |  26    33191    32109
    68000   2198s |  37    41383    40692 |  34    32171    31839
    68500   2214s |  58    41801    40692 |  42    37558    37044
H   69000   2232s |  48    41574    40671 |  41    41910    40251
    69500   2248s |  52    41636    40671 |  33    37647    37083
    70000   2264s |  63    41824    40671 |  41    37611    37053
    70500   2279s |  30    41089    40671 |  49    37394    36876
    71000   2294s |  53    41662    40671 |  57    37444    36876
    71500   2308s |  33    41184    40671 |  65    37268    36870
    72000   2322s |  55    41733    40671 |  32    37232    36870
    72500   2337s |  44    41559    40671 |  40    37263    36870
    73000   2352s |  32    41181    40671 |  48    37420    36870
    73500   2368s |  56    41771    40671 |  41    33287    32020
    74000   2384s |  36    41403    40671 |  49    37600    36952
    74500   2404s |  40    41496    40671 |  57    37762    37208
    75000   2418s |  38    41046    40671 |  53    40971    40196
    75500   2436s |  53    41674    40671 |  57    37759    37179
    76000   2451s |  26    40965    40671 |  65    37554    37009
    76500   2467s |  41    41537    40671 |  32    37395    36950
    77000   2483s |  38    41477    40671 |  34    38651    37270
    77500   2498s |  50    41702    40671 |  42    37644    37056
    78000   2513s |  33    41273    40671 |  50    37201    36901
    78500   2527s |  47    41607    40671 |  58    37391    36870
    79000   2542s |  31    41189    40671 |  25    37034    36868
    79500   2556s |  50    41711    40671 |  33    37146    36868
    80000   2570s |  38    41371    40671 |  41    37298    36868
    80500   2589s |  51    41802    40671 |  49    32363    31919
    81000   2606s |  52    41691    40671 |  57    37474    37047
    81500   2623s |  50    41784    40671 |  52    33115    31879
    82000   2641s |  32    41371    40671 |  60    32273    31774
    82500   2657s |  37    41372    40671 |  27    37321    37078
    83000   2672s |  51    41675    40671 |  35    37707    36950
    83500   2688s |  26    40939    40671 |  43    37295    36889
    84000   2703s |  39    41506    40671 |  51    37364    36889
    84500   2718s |  56    41842    40671 |  59    37349    36889
    85000   2734s |  31    41273    40671 |  26    23469    20479
    85500   2752s |  44    41579    40671 |  34    37471    37017
H   86000   2770s |  50    41770    40662 |  29    32953    31932
    86500   2788s |  31    41140    40662 |  37    37585    37009
    87000   2804s |  49    41639    40662 |  45    37306    36956
    87500   2819s |  45    41553    40662 |  53    37455    36888
    88000   2835s |  42    41668    40662 |  48    38040    37298
H   88500   2849s |  33    41204    40654 |  25    29504    23821
    89000   2868s |  57    41764    40654 |  33    37575    37141
    89500   2886s |  29    41163    40654 |  32    32409    32019
    90000   2904s |  64    41883    40654 |  40    37583    37115
    90500   2920s |  42    41619    40654 |  48    37543    36993
    91000   2934s |  45    41564    40654 |  56    37543    36922
    91500   2949s |  60    41830    40654 |  64    37403    36901
    92000   2964s |  38    41456    40654 |  31    37137    36892
    92500   2978s |  46    41632    40654 |  39    37318    36866
    93000   2992s |  30    41112    40654 |  47    37466    36862
    93500   3006s |  51    41743    40654 |  55    37453    36833
    94000   3023s |  30    41254    40654 |  59    32893    31980
    94500   3039s |  29    40973    40654 |  65    41682    40306
    95000   3057s |  62    41854    40654 |  31    37822    37157
    95500   3072s |  43    41573    40654 |  39    37297    36865
    96000   3087s |  63    41835    40654 |  47    37416    36855
    96500   3101s |  32    41300    40654 |  55    37340    36853
    97000   3115s |  46    41629    40654 |  63    37409    36832
    97500   3130s |  31    41190    40654 |  30    36902    36832
    98000   3144s |  42    41529    40654 |  38    37077    36828
    98500   3158s |  43    41545    40654 |  46    37182    36828
    99000   3177s |  38    41479    40654 |  40    38133    37517
    99500   3192s |  36    41334    40654 |  48    37524    36976
   100000   3209s |  37    41423    40654 |  50    32590    31867
   100500   3227s |  46    41594    40654 |  58    37730    37107
   101000   3243s |  32    41106    40654 |  47    37903    37145
   101500   3258s |  65    41809    40654 |  55    37446    36940
   102000   3272s |  43    41509    40654 |  63    37504    36898
H  102500   3286s |  56    41378    40638 |  63    31625    23623
   103000   3304s |  63    41865    40638 |  30    37519    37031
   103500   3318s |  27    41160    40638 |  38    37465    36989
   104000   3333s |  28    41028    40638 |  43    41627    40545
   104500   3352s |  35    41572    40638 |  49    37702    37158
H  105000   3367s |  41    41395    40627 |  29    37996    37213
   105500   3382s |  28    40959    40627 |  37    37280    36951
   106000   3396s |  62    41756    40627 |  45    37465    36857
   106500   3411s |  47    41612    40627 |  53    37239    36851
   107000   3425s |  29    41054    40627 |  61    37264    36833
   107500   3439s |  50    41561    40627 |  28    37069    36827
   108000   3454s |  28    40862    40627 |  36    37348    36808
   108500   3468s |  25    40742    40627 |  44    37262    36798
   109000   3482s |  33    41193    40627 |  52    37197    36798
   109500   3499s |  31    41360    40627 |  42    32650    31907
   110000   3517s |  57    41851    40627 |  50    37659    37065
   110500   3532s |  59    41757    40627 |  38    37831    37187
   111000   3547s |  62    41884    40627 |  46    37594    37023
   111500   3562s |  28    41010    40627 |  54    37514    36925
   112000   3580s |  62    41789    40627 |  54    37787    37165
   112500   3595s |  46    41462    40627 |  62    37701    37134

Search terminated in 3600.02s after 112665 iterations.
Best-found solution has cost 40627.

Solution results
================
    # routes: 34
   # clients: 222
   objective: 40627
    distance: 40627
    duration: 40627
# iterations: 112665
    run-time: 3600.02 seconds

Solving the file: X-n228-k23.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    227 clients
    227 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     11s |  36    31259    25967 |  35    25775    25400
H    1000     24s |  53    26379    25901 |  27    25685    25398
H    1500     33s |  54    26546    25849 |  41    23680    22837
H    2000     42s |  63    26528    25834 |  38    23677    22947
H    2500     49s |  55    25880    25827 |  37    25844    25812
     3000     60s |  63    25979    25827 |  43    25883    25811
     3500     64s |  44    25945    25827 |  49    25855    25807
     4000     73s |  37    26079    25827 |  44    26915    25811
     4500     78s |  60    26008    25827 |  51    25884    25786
     5000     89s |  46    26070    25827 |  40    25999    25805
     5500    102s |  55    26406    25827 |  34    25748    25426
     6000    114s |  35    26105    25827 |  31    25992    25811
     6500    125s |  64    26411    25827 |  58    23827    22843
     7000    140s |  51    26296    25827 |  58    25730    25411
     7500    149s |  39    26435    25827 |  51    23807    22917
     8000    161s |  61    25931    25827 |  42    25894    25802
     8500    170s |  30    26069    25827 |  65    28602    25790
H    9000    179s |  64    26019    25819 |  57    25904    25778
H    9500    191s |  55    26373    25817 |  47    27060    25782
    10000    203s |  33    26168    25817 |  25    24056    22925
    10500    215s |  53    26092    25817 |  60    25971    25780
H   11000    224s |  59    26333    25809 |  57    27087    25801
H   11500    233s |  56    26190    25781 |  55    25823    25335
H   12000    246s |  52    26249    25778 |  53    25790    25321
    12500    252s |  55    25855    25778 |  61    25791    25741
    13000    257s |  51    25856    25778 |  28    25765    25741
    13500    269s |  63    26114    25778 |  53    18160    15561
    14000    277s |  64    25871    25778 |  59    25780    25739
    14500    283s |  52    26181    25778 |  46    23673    22922
    15000    291s |  51    25887    25778 |  54    25816    25752
    15500    297s |  40    26368    25778 |  43    23795    22961
    16000    307s |  33    25933    25778 |  40    26145    25762
    16500    315s |  45    25894    25778 |  36    25816    25741
    17000    324s |  34    26003    25778 |  34    25883    25741
    17500    338s |  39    26301    25778 |  31    23738    22807
    18000    345s |  49    25948    25778 |  36    25832    25741
    18500    359s |  53    26465    25778 |  32    25468    25263
    19000    366s |  30    25900    25778 |  39    25841    25753
    19500    371s |  43    25886    25778 |  38    25837    25741
    20000    383s |  28    26292    25778 |  62    23878    22991
    20500    398s |  51    26310    25778 |  59    25886    25344
    21000    406s |  27    25909    25778 |  61    25833    25738
    21500    416s |  26    25872    25778 |  53    25817    25753
    22000    421s |  26    25878    25778 |  50    25796    25759
    22500    432s |  32    25942    25778 |  48    25896    25753
    23000    440s |  48    26041    25778 |  29    25940    25762
    23500    448s |  55    25978    25778 |  26    25907    25762
    24000    457s |  41    26478    25778 |  59    23696    22877
    24500    470s |  42    26366    25778 |  57    26176    25498
    25000    481s |  63    26608    25778 |  53    26278    25665
    25500    487s |  40    25927    25778 |  59    25814    25741
    26000    503s |  35    26305    25778 |  53    23160    22721
    26500    517s |  58    26296    25778 |  50    27366    25741
    27000    527s |  30    26124    25778 |  45    25821    25746
    27500    538s |  58    26187    25778 |  39    26009    25752
    28000    551s |  44    26594    25778 |  59    23674    22916
    28500    561s |  57    26005    25778 |  65    25835    25741
    29000    566s |  55    26023    25778 |  29    25827    25741
    29500    577s |  63    26579    25778 |  25    25830    25536
    30000    587s |  59    26023    25778 |  26    25826    25741
    30500    592s |  58    26021    25778 |  32    25818    25734
H   31000    598s |  51    25855    25777 |  39    25754    25734
    31500    606s |  59    26006    25777 |  34    25822    25748
    32000    611s |  57    25892    25777 |  37    25791    25731
    32500    617s |  46    25920    25777 |  45    25806    25730
H   33000    622s |  34    25848    25769 |  49    25761    25726
H   33500    633s |  65    26466    25766 |  34    26411    25742
    34000    639s |  42    25874    25766 |  35    25803    25719
    34500    648s |  39    26381    25766 |  42    26487    25538
    35000    657s |  65    25927    25766 |  48    25787    25721
    35500    662s |  55    25936    25766 |  48    25779    25719
    36000    667s |  31    25871    25766 |  51    25786    25719
    36500    673s |  41    25972    25766 |  57    25872    25719
    37000    682s |  30    26107    25766 |  47    23691    22858
H   37500    690s |  65    25882    25754 |  52    25839    25721
    38000    698s |  44    25890    25754 |  45    26044    25742
    38500    704s |  47    25896    25754 |  49    25844    25742
    39000    712s |  36    25896    25754 |  45    25799    25733
    39500    717s |  42    25851    25754 |  51    25771    25719
    40000    730s |  53    26327    25754 |  50    25636    25328
    40500    742s |  27    25989    25754 |  44    26094    25721
    41000    751s |  43    26232    25754 |  40    25690    25237
    41500    760s |  53    25934    25754 |  45    25879    25733
    42000    765s |  27    25881    25754 |  51    25798    25721
    42500    770s |  62    25936    25754 |  54    25795    25721
    43000    779s |  27    26105    25754 |  40    25719    25389
H   43500    786s |  48    25932    25753 |  48    25789    25720
    44000    791s |  33    25845    25753 |  56    25772    25718
    44500    796s |  59    25867    25753 |  63    25793    25718
    45000    801s |  57    25923    25753 |  65    25816    25718
    45500    806s |  58    25870    25753 |  29    25836    25718
    46000    811s |  46    25867    25753 |  34    25809    25718
    46500    821s |  25    26078    25753 |  34    23782    22844
    47000    828s |  32    25995    25753 |  40    25795    25720
    47500    833s |  25    25939    25753 |  46    25842    25720
    48000    838s |  25    26014    25753 |  50    25793    25718
    48500    850s |  63    25983    25753 |  47    25878    25741
    49000    856s |  29    25977    25753 |  55    21604    15592
    49500    868s |  54    25927    25753 |  62    25783    25720
    50000    873s |  52    25878    25753 |  27    25770    25720
    50500    879s |  57    25834    25753 |  31    25812    25720
    51000    884s |  60    25895    25753 |  34    25770    25720
    51500    889s |  56    25917    25753 |  40    25742    25718
    52000    898s |  38    25919    25753 |  41    25768    25726
    52500    904s |  52    25924    25753 |  44    25795    25720
    53000    909s |  61    26003    25753 |  52    25789    25720
    53500    914s |  62    25981    25753 |  44    25160    19290
    54000    928s |  65    26032    25753 |  47    25844    25741
    54500    934s |  26    25916    25753 |  53    25799    25718
    55000    940s |  45    25899    25753 |  61    25808    25718
    55500    946s |  39    25969    25753 |  26    25786    25718
    56000    951s |  33    25839    25753 |  33    25794    25718
    56500    957s |  58    25921    25753 |  40    25840    25697
    57000    966s |  29    26005    25753 |  32    25558    25305
    57500    975s |  48    25989    25753 |  37    25832    25727
    58000    988s |  50    26534    25753 |  30    25852    25526
    58500   1000s |  52    26302    25753 |  33    25384    25147
    59000   1010s |  55    26452    25753 |  62    26922    25720
    59500   1026s |  25    26139    25753 |  46    23515    22745
    60000   1040s |  65    25993    25753 |  50    25845    25732
    60500   1050s |  64    25923    25753 |  54    25842    25718
    61000   1055s |  39    25889    25753 |  52    25830    25718
    61500   1061s |  48    25933    25753 |  51    25847    25718
    62000   1066s |  58    25885    25753 |  52    25786    25718
    62500   1074s |  36    26427    25753 |  44    26484    25579
    63000   1082s |  36    25998    25753 |  48    25866    25720
R                 |        restart        |        restart
    63500   1089s |  28    32804    26229 |  46    26334    25991
    64000   1103s |  28    32635    26154 |  37    25616    25374
    64500   1115s |  29    32313    25989 |  31    26082    25886
    65000   1128s |  55    26265    25957 |  30    25977    25824
    65500   1138s |  56    26294    25919 |  41    26094    25807
    66000   1151s |  34    26131    25919 |  30    26089    25829
    66500   1161s |  52    26143    25894 |  48    25911    25799
    67000   1174s |  50    26243    25865 |  34    25996    25767
    67500   1185s |  29    25979    25862 |  51    25658    25354
    68000   1199s |  39    26152    25862 |  43    25618    25310
    68500   1210s |  46    26478    25859 |  50    26381    25382
    69000   1222s |  45    26230    25856 |  30    25590    25327
    69500   1238s |  32    26140    25856 |  36    23589    22913
    70000   1250s |  63    26332    25849 |  45    23769    22946
    70500   1261s |  64    26051    25849 |  44    25928    25780
    71000   1276s |  38    26175    25847 |  27    25760    25494
    71500   1286s |  45    26022    25843 |  60    25937    25772
    72000   1296s |  55    26038    25843 |  28    26006    25799
    72500   1310s |  57    26294    25843 |  34    25444    25236
    73000   1322s |  59    26041    25841 |  54    26111    25794
    73500   1335s |  53    26041    25841 |  29    25953    25777
    74000   1346s |  46    26104    25841 |  34    26059    25774
    74500   1359s |  51    26311    25841 |  32    25412    25136
    75000   1369s |  27    25925    25841 |  49    25928    25732
    75500   1381s |  31    26041    25841 |  65    26270    25769
    76000   1396s |  46    26283    25841 |  26    25361    25128
    76500   1408s |  34    26169    25841 |  33    25245    25078
    77000   1419s |  33    26085    25841 |  40    25186    25041
    77500   1431s |  27    25970    25841 |  47    25462    25012
    78000   1444s |  58    26651    25839 |  64    23735    22990
    78500   1458s |  34    26248    25839 |  50    19895    18181
    79000   1468s |  65    26086    25838 |  34    26102    25752
    79500   1479s |  44    26277    25838 |  53    25618    25282
    80000   1493s |  45    26039    25838 |  46    26007    25805
    80500   1503s |  58    26098    25838 |  49    19338    15843
    81000   1520s |  46    26315    25838 |  44    19996    18388
    81500   1532s |  47    26426    25833 |  32    23682    22893
    82000   1548s |  43    26342    25833 |  30    25810    25406
    82500   1556s |  33    25964    25833 |  45    25892    25733
    83000   1570s |  52    26473    25833 |  27    23471    22824
R                 |        restart        |        restart
    83500   1584s |  32    32171    26153 |  58    25816    25225
    84000   1597s |  46    30200    26129 |  60    26423    25940
    84500   1609s |  42    30624    26037 |  40    25595    25306
    85000   1623s |  65    28888    25995 |  46    24022    16084
    85500   1642s |  25    26103    25995 |  64    26026    25309
    86000   1661s |  43    26265    25985 |  31    17312    15519
    86500   1681s |  63    26482    25983 |  46    21418    12566
    87000   1702s |  35    26442    25973 |  29    23737    22884
    87500   1719s |  53    26641    25971 |  35    23584    22756
    88000   1740s |  34    26285    25971 |  57    25852    25273
    88500   1761s |  57    26684    25971 |  40    23559    22816
    89000   1778s |  28    26140    25964 |  57    17399    15407
    89500   1800s |  48    26268    25964 |  44    16975    15445
    90000   1823s |  61    26514    25962 |  29    17502    15512
    90500   1843s |  41    26296    25962 |  49    15251    12389
    91000   1862s |  49    26476    25952 |  28    25851    25332
    91500   1882s |  52    26308    25917 |  48    19370    18219
    92000   1897s |  42    26507    25917 |  33    23659    22878
    92500   1915s |  45    26463    25912 |  25    23464    22896
    93000   1932s |  52    26412    25912 |  50    26423    25519
    93500   1949s |  38    26169    25912 |  33    17320    15382
    94000   1961s |  27    26024    25910 |  55    25606    25156
    94500   1971s |  53    26414    25910 |  55    25363    25093
    95000   1981s |  46    26064    25910 |  55    26051    25859
    95500   1987s |  48    26059    25910 |  53    25920    25762
    96000   1998s |  53    26069    25910 |  48    25995    25857
    96500   2011s |  54    26354    25910 |  47    25597    25233
    97000   2021s |  45    26081    25910 |  52    25975    25830
    97500   2029s |  46    26075    25910 |  45    26258    25886
    98000   2040s |  52    26159    25892 |  49    25928    25777
    98500   2048s |  49    26162    25873 |  52    25834    25716
    99000   2054s |  51    25932    25845 |  54    25921    25808
    99500   2062s |  62    26549    25841 |  55    26107    25389
   100000   2070s |  43    25910    25836 |  59    25843    25800
   100500   2075s |  50    25935    25835 |  46    25838    25800
   101000   2080s |  46    25981    25830 |  42    25832    25788
   101500   2086s |  33    25927    25821 |  26    25892    25810
   102000   2095s |  26    25941    25818 |  26    25851    25762
   102500   2101s |  33    25968    25818 |  54    25978    25763
   103000   2107s |  47    25891    25818 |  58    25831    25790
R                 |        restart        |        restart
   103500   2115s |  64    29561    26135 |  55    25777    25148
   104000   2130s |  34    31644    26113 |  58    16949    15428
   104500   2146s |  42    30567    26073 |  50    26141    25906
   105000   2161s |  54    29758    26019 |  42    25443    25188
   105500   2176s |  51    26262    25983 |  64    26412    25865
   106000   2189s |  27    26059    25938 |  30    25599    25252
   106500   2203s |  40    26357    25874 |  41    27197    25858
   107000   2221s |  40    26223    25872 |  41    25867    25418
   107500   2233s |  31    26182    25872 |  58    23879    22952
   108000   2242s |  40    26071    25872 |  57    25920    25746
   108500   2253s |  34    26165    25872 |  54    25598    25286
   109000   2264s |  29    26099    25872 |  60    25503    25149
   109500   2275s |  58    26495    25869 |  26    25233    25051
   110000   2285s |  46    26290    25869 |  34    25191    25037
   110500   2295s |  33    26015    25866 |  40    26008    25769
   111000   2306s |  41    26135    25866 |  32    25782    25386
   111500   2320s |  55    26545    25866 |  35    25935    25375
   112000   2334s |  46    26495    25866 |  33    25743    25430
   112500   2345s |  61    26437    25849 |  40    26482    25809
   113000   2356s |  34    26243    25824 |  39    23923    22932
   113500   2363s |  54    25905    25788 |  45    25853    25751
   114000   2369s |  40    25887    25788 |  52    25803    25743
   114500   2382s |  62    26304    25788 |  27    25659    25337
   115000   2387s |  60    25902    25782 |  45    25830    25767
   115500   2399s |  49    26015    25776 |  38    25862    25738
   116000   2413s |  26    25906    25776 |  62    26250    25452
   116500   2424s |  41    26342    25776 |  57    23541    22889
   117000   2435s |  32    26124    25776 |  52    23561    22799
   117500   2446s |  46    25881    25772 |  59    25772    25730
   118000   2454s |  27    25986    25765 |  45    26069    25771
   118500   2466s |  53    26472    25763 |  35    25834    25365
   119000   2473s |  47    25910    25754 |  42    25759    25714
   119500   2478s |  48    25851    25753 |  50    25740    25713
H  120000   2483s |  54    25912    25752 |  56    25791    25713
   120500   2494s |  35    25953    25752 |  44    25918    25738
   121000   2503s |  65    25852    25752 |  39    25792    25716
   121500   2508s |  30    25824    25752 |  47    25736    25713
   122000   2516s |  31    25839    25752 |  38    26026    25716
   122500   2522s |  60    25862    25752 |  44    25735    25711
   123000   2536s |  25    26083    25752 |  38    25523    25244
   123500   2544s |  65    26282    25752 |  34    23814    22918
H  124000   2551s |  60    25860    25746 |  40    25770    25709
   124500   2556s |  52    25800    25746 |  46    25751    25707
   125000   2561s |  50    25868    25746 |  52    25773    25705
   125500   2570s |  30    26021    25746 |  43    25841    25709
   126000   2580s |  62    26509    25746 |  43    25763    25428
   126500   2591s |  37    26379    25746 |  32    23908    22882
   127000   2599s |  27    25879    25746 |  38    25767    25707
H  127500   2607s |  63    25889    25745 |  25    25826    25709
   128000   2612s |  60    25839    25745 |  32    25753    25708
   128500   2618s |  39    25819    25745 |  39    25740    25706
   129000   2629s |  58    26188    25745 |  61    26479    25722
   129500   2640s |  63    25869    25745 |  56    25915    25745
   130000   2649s |  27    25938    25745 |  54    25811    25729
   130500   2658s |  31    26023    25745 |  47    25821    25729
   131000   2668s |  47    26165    25745 |  43    26047    25729
   131500   2679s |  37    26274    25745 |  28    24121    23041
   132000   2688s |  44    25963    25745 |  35    25826    25720
   132500   2694s |  31    25920    25745 |  36    25804    25705
   133000   2702s |  57    26600    25745 |  28    23850    22943
   133500   2713s |  55    26449    25745 |  61    27502    25742
   134000   2723s |  60    25988    25745 |  58    25818    25708
   134500   2734s |  58    26347    25745 |  49    25584    25246
   135000   2743s |  35    26123    25745 |  41    23815    18977
   135500   2756s |  36    25996    25745 |  47    25860    25708
   136000   2762s |  65    25996    25745 |  55    25868    25708
   136500   2769s |  34    26073    25745 |  47    23123    18799
   137000   2776s |  62    25898    25745 |  53    25764    25706
   137500   2782s |  55    25865    25745 |  61    25736    25706
   138000   2797s |  27    26066    25745 |  28    25505    25257
   138500   2810s |  35    25943    25745 |  63    26120    25729
   139000   2821s |  34    26237    25745 |  53    25680    25366
   139500   2832s |  31    26058    25745 |  46    25994    25708
   140000   2843s |  41    26431    25745 |  65    26724    25568
   140500   2859s |  62    26495    25745 |  25    22502    18412
   141000   2869s |  63    26008    25745 |  31    25769    25707
   141500   2883s |  31    26218    25745 |  54    23899    22857
   142000   2895s |  33    25883    25745 |  59    25826    25725
   142500   2904s |  40    25936    25745 |  54    25850    25714
   143000   2918s |  46    26207    25745 |  52    26165    25729
   143500   2926s |  59    26609    25745 |  45    23723    22786
   144000   2935s |  61    25972    25745 |  43    25953    25745
   144500   2947s |  31    26016    25745 |  38    25905    25726
   145000   2953s |  43    25822    25745 |  41    25754    25706
   145500   2962s |  51    26047    25745 |  40    25860    25722
   146000   2974s |  57    26255    25745 |  33    25980    25708
   146500   2980s |  45    25958    25745 |  35    25888    25708
   147000   2987s |  28    26111    25745 |  33    21630    18256
R                 |        restart        |        restart
   147500   3001s |  46    30162    26089 |  55    26155    25944
   148000   3014s |  47    26475    26072 |  46    25822    25375
   148500   3027s |  30    26303    26072 |  53    25599    25253
   149000   3041s |  44    26355    26038 |  50    26179    25930
   149500   3051s |  65    26259    25952 |  34    25018    19573
   150000   3065s |  58    26302    25951 |  40    26156    25858
   150500   3076s |  62    26467    25907 |  62    25802    25311
   151000   3088s |  52    26328    25886 |  63    26198    25367
   151500   3097s |  63    26618    25884 |  65    26214    25333
   152000   3105s |  44    25968    25879 |  30    25898    25805
   152500   3114s |  35    26268    25858 |  58    25801    25342
   153000   3126s |  48    26508    25837 |  35    23979    22899
   153500   3140s |  39    26371    25819 |  30    21143    18365
   154000   3152s |  37    26311    25805 |  32    23867    22944
   154500   3161s |  39    25845    25798 |  39    25815    25782
   155000   3175s |  41    26109    25790 |  27    25561    25235
   155500   3186s |  43    25944    25790 |  62    26415    25759
   156000   3197s |  44    25962    25790 |  58    25901    25774
   156500   3205s |  50    26351    25787 |  56    25797    25392
   157000   3217s |  30    26030    25787 |  64    26451    25774
   157500   3226s |  43    26306    25768 |  58    25685    25218
   158000   3237s |  52    26501    25768 |  45    23566    22922
   158500   3252s |  32    25979    25768 |  42    26323    25748
   159000   3263s |  40    26287    25768 |  65    26347    25408
   159500   3275s |  28    25918    25768 |  57    25985    25731
   160000   3285s |  63    26007    25768 |  30    25159    19210
   160500   3298s |  50    25892    25768 |  58    25714    25126
   161000   3311s |  53    26358    25768 |  25    25420    25170
   161500   3323s |  56    26480    25767 |  59    23798    22772
   162000   3333s |  32    25864    25767 |  43    25931    25767
   162500   3345s |  40    26526    25767 |  34    23603    22939
   163000   3358s |  54    26442    25767 |  56    23724    22900
   163500   3370s |  35    25993    25767 |  45    25973    25767
   164000   3382s |  43    26135    25767 |  28    25605    25321
   164500   3392s |  62    26056    25767 |  61    25939    25751
   165000   3406s |  31    26040    25767 |  50    27014    25751
   165500   3418s |  57    26148    25767 |  31    21200    18553
   166000   3432s |  37    26122    25767 |  38    25548    25223
   166500   3443s |  30    26120    25767 |  37    25770    25410
   167000   3452s |  51    26007    25767 |  32    25777    25731
R                 |        restart        |        restart
   167500   3464s |  57    29442    26150 |  51    26128    25928
   168000   3475s |  26    32895    25952 |  34    25497    25187
   168500   3491s |  26    32979    25952 |  38    25636    25280
   169000   3502s |  63    29463    25939 |  61    25805    25444
   169500   3514s |  44    30463    25937 |  55    26832    25880
   170000   3524s |  60    29604    25857 |  47    23869    22874
   170500   3537s |  47    26399    25857 |  27    25777    25375
   171000   3549s |  39    26231    25834 |  63    25715    25308
   171500   3558s |  33    26137    25819 |  56    26225    25465
